ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601857.SH,2024-07-03,10.65,10.74,10.47,10.57,10.66,-0.09,-0.8443,1384818.09,1466419.334
601857.SH,2024-07-04,10.58,10.72,10.58,10.64,10.57,0.07,0.6623,1203806.62,1282164.407
601857.SH,2024-07-05,10.63,10.7,10.34,10.54,10.64,-0.1,-0.9398,1650690.07,1729155.526
601857.SH,2024-07-08,10.44,10.75,10.41,10.67,10.54,0.13,1.2334,1390777.89,1479551.353
601857.SH,2024-07-09,10.66,10.69,10.53,10.64,10.67,-0.03,-0.2812,1128519.26,1199119.687
601857.SH,2024-07-10,10.62,10.66,10.31,10.33,10.64,-0.31,-2.9135,1567583.93,1635268.559
601857.SH,2024-07-11,10.35,10.47,10.25,10.46,10.33,0.13,1.2585,1397590.18,1450536.535
601857.SH,2024-07-12,10.43,10.58,10.27,10.33,10.46,-0.13,-1.2428,1359350.64,1412404.284
601857.SH,2024-07-15,10.24,10.5,10.14,10.47,10.33,0.14,1.3553,1534145.21,1594666.896
601857.SH,2024-07-16,10.44,10.56,10.36,10.51,10.47,0.04,0.382,1114835.75,1168563.677
601857.SH,2024-07-17,10.46,10.5,10.05,10.09,10.51,-0.42,-3.9962,2139499.5,2184469.848
601857.SH,2024-07-18,10.12,10.22,10.01,10.2,10.09,0.11,1.0902,1486272.46,1506784.061
601857.SH,2024-07-19,10.1,10.11,9.88,9.97,10.2,-0.23,-2.2549,1876459.19,1868948.688
601857.SH,2024-07-22,9.86,9.86,9.48,9.63,9.97,-0.34,-3.4102,2576414.29,2478545.193
601857.SH,2024-07-23,9.58,9.63,9.5,9.51,9.63,-0.12,-1.2461,1444746.35,1380092.475
601857.SH,2024-07-24,9.5,9.64,9.42,9.56,9.51,0.05,0.5258,1718396.06,1636607.951
601857.SH,2024-07-25,9.55,9.55,9.13,9.16,9.56,-0.4,-4.1841,2261720.07,2089178.544
601857.SH,2024-07-26,9.13,9.22,9.02,9.1,9.16,-0.06,-0.655,1659726.43,1509720.705
601857.SH,2024-07-29,9.03,9.16,8.95,9.14,9.1,0.04,0.4396,1309562.11,1187012.036
601857.SH,2024-07-30,9.06,9.06,8.78,8.78,9.14,-0.36,-3.9387,2183524.03,1936105.494
601857.SH,2024-07-31,8.75,8.99,8.74,8.97,8.78,0.19,2.164,2009305.36,1786098.511
601857.SH,2024-08-01,9.07,9.17,8.95,9.03,8.97,0.06,0.6689,1600744.94,1449132.223
601857.SH,2024-08-02,8.87,8.91,8.78,8.86,9.03,-0.17,-1.8826,1346720.28,1191228.816
601857.SH,2024-08-05,8.65,8.75,8.39,8.42,8.86,-0.44,-4.9661,2933267.77,2506938.476
601857.SH,2024-08-06,8.48,8.57,8.42,8.49,8.42,0.07,0.8314,1358303.97,1152287.288
601857.SH,2024-08-07,8.44,8.72,8.38,8.59,8.49,0.1,1.1779,1577568.43,1357786.434
601857.SH,2024-08-08,8.65,8.72,8.54,8.55,8.59,-0.04,-0.4657,992500.02,854385.928
601857.SH,2024-08-09,8.58,8.78,8.56,8.74,8.55,0.19,2.2222,1599886.41,1394823.876
601857.SH,2024-08-12,8.73,8.8,8.67,8.71,8.74,-0.03,-0.3432,909479.14,793562.497
601857.SH,2024-08-13,8.79,8.88,8.69,8.79,8.71,0.08,0.9185,1261014.91,1105109.224
601857.SH,2024-08-14,8.71,8.79,8.66,8.78,8.79,-0.01,-0.1138,780732.02,682838.065
601857.SH,2024-08-15,8.75,8.91,8.71,8.86,8.78,0.08,0.9112,1139332.32,1007999.859
601857.SH,2024-08-16,8.88,9.05,8.87,9.01,8.86,0.15,1.693,1268546.14,1139101.885
601857.SH,2024-08-19,8.98,9.12,8.93,9.07,9.01,0.06,0.6659,1056188.02,955618.123
601857.SH,2024-08-20,9.04,9.09,8.81,8.89,9.07,-0.18,-1.9846,1405325.24,1254182.355
601857.SH,2024-08-21,8.84,8.93,8.8,8.93,8.89,0.04,0.4499,845655.39,750297.73
601857.SH,2024-08-22,8.88,8.94,8.81,8.9,8.93,-0.03,-0.3359,878912.99,781318.037
601857.SH,2024-08-23,8.92,9.09,8.86,8.93,8.9,0.03,0.3371,959815.06,859537.312
601857.SH,2024-08-26,9.01,9.09,8.92,9.05,8.93,0.12,1.3438,1137326.44,1022443.901
601857.SH,2024-08-27,9.11,9.35,9.05,9.32,9.05,0.27,2.9834,2174499.74,2011545.766
601857.SH,2024-08-28,9.25,9.35,9.12,9.18,9.32,-0.14,-1.5021,1360484.4,1254670.844
601857.SH,2024-08-29,9.14,9.16,8.84,8.9,9.18,-0.28,-3.0501,1458572.94,1305475.81
601857.SH,2024-08-30,8.9,9.04,8.8,8.93,8.9,0.03,0.3371,1549531.62,1385639.932
601857.SH,2024-09-02,8.85,9.07,8.7,9.01,8.93,0.08,0.8959,1452107.93,1300193.607
601857.SH,2024-09-03,8.98,9.04,8.67,8.71,9.01,-0.3,-3.3296,1647423.0,1443072.088
601857.SH,2024-09-04,8.49,8.49,8.17,8.25,8.71,-0.46,-5.2813,2342152.59,1939151.036
601857.SH,2024-09-05,8.21,8.28,8.05,8.13,8.25,-0.12,-1.4545,1653424.72,1342872.183
601857.SH,2024-09-06,8.11,8.21,8.04,8.04,8.13,-0.09,-1.107,1110479.36,901374.546
601857.SH,2024-09-09,7.99,8.0,7.71,7.82,8.04,-0.22,-2.7363,1830158.42,1428680.734
601857.SH,2024-09-10,7.85,7.95,7.82,7.9,7.82,0.08,1.023,1255346.5,989432.353
601857.SH,2024-09-11,7.72,7.77,7.55,7.75,7.9,-0.15,-1.8987,2023977.41,1545930.431
601857.SH,2024-09-12,7.73,7.87,7.69,7.84,7.75,0.09,1.1613,1331868.01,1037762.145
601857.SH,2024-09-13,7.88,7.98,7.88,7.9,7.84,0.06,0.7653,1297171.94,1029572.481
601857.SH,2024-09-18,7.91,8.1,7.91,8.06,7.9,0.16,2.0253,1174422.01,941347.769
601857.SH,2024-09-19,7.9,7.9,7.7,7.85,7.84,0.01,0.1276,1153688.18,899950.256
601857.SH,2024-09-20,7.89,8.01,7.83,7.91,7.85,0.06,0.7643,1334880.8,1058130.225
601857.SH,2024-09-23,7.91,8.09,7.86,8.01,7.91,0.1,1.2642,965866.03,772046.984
601857.SH,2024-09-24,8.11,8.37,8.04,8.36,8.01,0.35,4.3695,1839363.23,1513319.694
601857.SH,2024-09-25,8.51,8.66,8.37,8.4,8.36,0.04,0.4785,2124735.16,1805556.499
601857.SH,2024-09-26,8.3,8.45,8.25,8.39,8.4,-0.01,-0.119,2957529.68,2464797.43
601857.SH,2024-09-27,8.39,8.4,8.28,8.38,8.39,-0.01,-0.1192,1794093.73,1496451.827
601857.SH,2024-09-30,8.53,9.17,8.53,9.02,8.38,0.64,7.6372,5409261.89,4758267.275
601857.SH,2024-10-08,9.92,9.92,8.9,9.34,9.02,0.32,3.5477,6429853.22,6034716.233
601857.SH,2024-10-09,9.1,9.13,8.45,8.45,9.34,-0.89,-9.5289,4449018.25,3873797.994
601857.SH,2024-10-10,8.47,9.01,8.47,8.74,8.45,0.29,3.432,3934855.53,3451721.238
601857.SH,2024-10-11,8.85,8.89,8.63,8.7,8.74,-0.04,-0.4577,2514851.77,2204108.994
601857.SH,2024-10-14,8.7,8.84,8.62,8.75,8.7,0.05,0.5747,2214551.25,1934312.204
601857.SH,2024-10-15,8.58,8.61,8.42,8.43,8.75,-0.32,-3.6571,2255166.56,1918310.046
601857.SH,2024-10-16,8.4,8.5,8.32,8.42,8.43,-0.01,-0.1186,1669120.34,1404550.565
601857.SH,2024-10-17,8.41,8.59,8.35,8.35,8.42,-0.07,-0.8314,1798041.41,1522345.25
601857.SH,2024-10-18,8.39,8.6,8.35,8.54,8.35,0.19,2.2754,2402183.41,2036682.441
601857.SH,2024-10-21,8.5,8.59,8.41,8.46,8.54,-0.08,-0.9368,2292546.26,1942472.507
601857.SH,2024-10-22,8.46,8.51,8.43,8.46,8.46,0.0,0.0,1670435.06,1414903.217
601857.SH,2024-10-23,8.5,8.53,8.43,8.48,8.46,0.02,0.2364,1955565.24,1657075.962
601857.SH,2024-10-24,8.46,8.47,8.38,8.45,8.48,-0.03,-0.3538,978372.61,825453.466
601857.SH,2024-10-25,8.41,8.45,8.38,8.39,8.45,-0.06,-0.7101,1218970.08,1024342.011
601857.SH,2024-10-28,8.33,8.37,8.18,8.37,8.39,-0.02,-0.2384,2260084.81,1865061.282
601857.SH,2024-10-29,8.29,8.33,8.2,8.2,8.37,-0.17,-2.0311,1590375.56,1313118.647
601857.SH,2024-10-30,8.2,8.25,8.08,8.11,8.2,-0.09,-1.0976,1584254.31,1290071.545
601857.SH,2024-10-31,8.13,8.16,8.06,8.1,8.11,-0.01,-0.1233,1283101.5,1039938.547
601857.SH,2024-11-01,8.13,8.38,8.11,8.3,8.1,0.2,2.4691,2805246.59,2322035.822
601857.SH,2024-11-04,8.31,8.34,8.13,8.2,8.3,-0.1,-1.2048,1949854.82,1593503.765
601857.SH,2024-11-05,8.2,8.29,8.14,8.28,8.2,0.08,0.9756,2036944.83,1676962.49
601857.SH,2024-11-06,8.23,8.4,8.22,8.26,8.28,-0.02,-0.2415,2373457.22,1969970.799
601857.SH,2024-11-07,8.22,8.35,8.16,8.35,8.26,0.09,1.0896,2446810.6,2019718.751
601857.SH,2024-11-08,8.35,8.39,8.22,8.25,8.35,-0.1,-1.1976,2061592.31,1710854.042
601857.SH,2024-11-11,8.2,8.2,8.02,8.09,8.25,-0.16,-1.9394,2487678.11,2009778.978
601857.SH,2024-11-12,8.03,8.16,7.99,8.0,8.09,-0.09,-1.1125,2130889.44,1716917.877
601857.SH,2024-11-13,7.99,8.16,7.97,8.07,8.0,0.07,0.875,2233180.88,1803260.184
601857.SH,2024-11-14,8.03,8.15,8.02,8.03,8.07,-0.04,-0.4957,1850581.27,1497145.402
601857.SH,2024-11-15,8.03,8.1,7.98,8.03,8.03,0.0,0.0,1853546.6,1489484.687
601857.SH,2024-11-18,8.04,8.23,8.03,8.15,8.03,0.12,1.4944,2782130.49,2270719.679
601857.SH,2024-11-19,8.19,8.2,8.06,8.13,8.15,-0.02,-0.2454,1697556.27,1375912.252
601857.SH,2024-11-20,8.1,8.15,8.06,8.13,8.13,0.0,0.0,1175676.57,953324.0
601857.SH,2024-11-21,8.11,8.16,8.08,8.11,8.13,-0.02,-0.246,1034575.9,840590.756
601857.SH,2024-11-22,8.13,8.19,8.01,8.01,8.11,-0.1,-1.233,1664004.15,1345765.046
601857.SH,2024-11-25,8.05,8.15,8.0,8.03,8.01,0.02,0.2497,1515802.29,1222692.183
601857.SH,2024-11-26,7.97,8.03,7.84,8.02,8.03,-0.01,-0.1245,1313712.51,1044289.9
601857.SH,2024-11-27,7.98,8.04,7.94,8.03,8.02,0.01,0.1247,960155.37,767807.338
601857.SH,2024-11-28,8.02,8.06,7.99,8.03,8.03,0.0,0.0,756555.0,607167.983
601857.SH,2024-11-29,8.04,8.11,8.03,8.04,8.03,0.01,0.1245,1291504.25,1042135.82
601857.SH,2024-12-02,8.06,8.07,7.99,8.02,8.04,-0.02,-0.2488,1300252.01,1042573.213
601857.SH,2024-12-03,8.01,8.1,7.98,8.1,8.02,0.08,0.9975,1599734.33,1286566.304
601857.SH,2024-12-04,8.1,8.45,8.1,8.44,8.1,0.34,4.1975,4325549.98,3600733.255
601857.SH,2024-12-05,8.32,8.38,8.26,8.29,8.44,-0.15,-1.7773,1827162.02,1517775.073
601857.SH,2024-12-06,8.28,8.39,8.27,8.32,8.29,0.03,0.3619,1598333.36,1330524.079
601857.SH,2024-12-09,8.29,8.48,8.24,8.43,8.32,0.11,1.3221,2126592.43,1789796.053
601857.SH,2024-12-10,8.53,8.58,8.35,8.36,8.43,-0.07,-0.8304,1914230.22,1612096.547
601857.SH,2024-12-11,8.34,8.47,8.33,8.45,8.36,0.09,1.0766,1503909.14,1264886.129
601857.SH,2024-12-12,8.46,8.54,8.42,8.45,8.45,0.0,0.0,1392177.88,1178253.733
601857.SH,2024-12-13,8.41,8.43,8.27,8.28,8.45,-0.17,-2.0118,1627296.05,1355494.586
601857.SH,2024-12-16,8.26,8.49,8.25,8.45,8.28,0.17,2.0531,2072054.56,1745663.828
601857.SH,2024-12-17,8.43,8.59,8.43,8.48,8.45,0.03,0.355,1625591.32,1382591.696
601857.SH,2024-12-18,8.52,8.59,8.48,8.51,8.48,0.03,0.3538,1324766.89,1130071.894
601857.SH,2024-12-19,8.46,8.55,8.4,8.42,8.51,-0.09,-1.0576,1261273.93,1067693.429
601857.SH,2024-12-20,8.41,8.44,8.33,8.34,8.42,-0.08,-0.9501,1060721.26,887490.575
601857.SH,2024-12-23,8.38,8.62,8.37,8.58,8.34,0.24,2.8777,2236032.68,1909500.531
601857.SH,2024-12-24,8.54,8.82,8.5,8.78,8.58,0.2,2.331,2386242.72,2083028.591
601857.SH,2024-12-25,8.76,9.05,8.75,9.02,8.78,0.24,2.7335,2503520.51,2241802.966
601857.SH,2024-12-26,9.02,9.02,8.85,8.97,9.02,-0.05,-0.5543,1845506.97,1647425.131
601857.SH,2024-12-27,8.98,9.07,8.81,8.92,8.97,-0.05,-0.5574,1451990.07,1291502.032
601857.SH,2024-12-30,8.92,9.08,8.91,9.0,8.92,0.08,0.8969,1459250.07,1311769.433
601857.SH,2024-12-31,9.02,9.05,8.92,8.94,9.0,-0.06,-0.6667,1554073.59,1396986.883
601857.SH,2025-01-02,8.91,9.01,8.73,8.77,8.94,-0.17,-1.9016,1849814.42,1636853.877
601857.SH,2025-01-03,8.81,8.95,8.8,8.85,8.77,0.08,0.9122,1789653.1,1589925.43
601857.SH,2025-01-06,8.87,8.95,8.68,8.91,8.85,0.06,0.678,1704628.04,1509884.54
601857.SH,2025-01-07,8.86,8.93,8.75,8.84,8.91,-0.07,-0.7856,1222673.27,1077809.048
601857.SH,2025-01-08,8.86,9.17,8.84,9.05,8.84,0.21,2.3756,2275089.32,2057337.764
