ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,rsi14,macd_dif,macd_dea,macd_hist
688981.SH,2025-07-02,87.5,87.73,85.81,86.1,87.76,-1.66,-1.8915,225572.67,1955238.262,,,,,0.0,0.0,0.0
688981.SH,2025-07-03,86.38,86.73,85.78,86.24,86.1,0.14,0.1626,146150.27,1260331.049,,,,,0.011168091168087813,0.0022336182336175625,0.0178689458689405
688981.SH,2025-07-04,86.0,87.2,84.86,85.8,86.24,-0.44,-0.5102,252257.45,2166412.311,,,,,-0.015308966647992861,-0.0012748987427045225,-0.028068135810576676
688981.SH,2025-07-07,85.69,86.86,85.37,85.48,85.8,-0.32,-0.373,135349.28,1162397.568,,,,,-0.06140570463327322,-0.013301059920818262,-0.09620928942490992
688981.SH,2025-07-08,85.49,86.85,85.18,86.74,85.48,1.26,1.474,217668.48,1876172.23,86.072,,,,0.0036912180806325523,-0.0099026043205281,0.027187644802321304
688981.SH,2025-07-09,86.65,86.86,85.52,85.85,86.74,-0.89,-1.0261,183102.0,1578143.686,86.02199999999999,,,,-0.016346135554684338,-0.011191310567359348,-0.01030964997464998
688981.SH,2025-07-10,85.61,86.17,85.5,85.67,85.85,-0.18,-0.2097,175639.46,1506706.468,85.908,,,,-0.046217610504811546,-0.01819657055484979,-0.05604207989992351
688981.SH,2025-07-11,85.7,89.34,85.4,88.16,85.67,2.49,2.9065,469922.38,4128335.55,86.38,,,,0.12953798730355004,0.011350341016830176,0.23637529257343973
688981.SH,2025-07-14,88.3,88.49,87.47,87.52,88.16,-0.64,-0.726,189831.36,1667925.619,86.78799999999998,,,,0.21470789456304828,0.052021851726073806,0.32537208567394893
688981.SH,2025-07-15,87.15,87.95,86.61,87.89,87.52,0.37,0.4228,206173.16,1800356.659,87.018,,,,0.3085053102841613,0.10331854343769131,0.41037353369293994
688981.SH,2025-07-16,87.73,88.2,86.77,87.12,87.89,-0.77,-0.8761,196708.51,1720548.788,87.272,,,,0.31705308259802223,0.1460654512697575,0.34197526265652944
688981.SH,2025-07-17,87.06,89.0,86.32,88.79,87.12,1.67,1.9169,287922.16,2535637.954,87.896,,,,0.4533562878855548,0.207523618592917,0.49166533858527567
688981.SH,2025-07-18,88.75,89.13,87.93,88.51,88.79,-0.28,-0.3154,219959.93,1948101.635,87.96600000000001,,,,0.5326439126790774,0.27254767741014907,0.5201924705378567
688981.SH,2025-07-21,88.45,89.52,88.04,89.02,88.51,0.51,0.5762,222719.15,1983498.56,88.266,,,,0.629377591218983,0.3439136601719159,0.5709278620941342
688981.SH,2025-07-22,88.7,90.55,88.5,89.08,89.02,0.06,0.0674,297420.68,2662984.479,88.50399999999999,,,64.87025948103799,0.7027800163859155,0.4156869314147158,0.5741861699423993
688981.SH,2025-07-23,88.9,90.19,88.3,89.39,89.08,0.31,0.348,316549.41,2831683.379,88.958,,,65.45632973503442,0.7770094946063324,0.48795144405303914,0.5781161011065865
688981.SH,2025-07-24,89.1,92.9,89.0,91.75,89.39,2.36,2.6401,522324.53,4779308.503,89.55,,,74.56647398843937,1.0145737924188296,0.5932759137261973,0.8425957573852647
688981.SH,2025-07-25,91.74,93.68,90.99,93.47,91.75,1.72,1.8747,442124.79,4076414.682,90.542,,,79.57068837897856,1.326345549480834,0.7398898408771246,1.1729114172074189
688981.SH,2025-07-28,93.64,93.69,91.96,92.18,93.47,-1.29,-1.3801,342640.05,3167887.757,91.174,,,70.08862629246684,1.452590139207686,0.882429900543237,1.1403204773288982
688981.SH,2025-07-29,92.0,92.63,90.81,92.17,92.18,-0.01,-0.0108,294142.08,2699803.673,91.792,88.3465,,74.96050552922597,1.5341482634756431,1.0127735731297183,1.0427493806918497
688981.SH,2025-07-30,91.7,91.83,89.74,90.36,92.17,-1.81,-1.9638,310018.59,2815721.986,91.98600000000002,88.5595,,66.41007697690694,1.436176443304106,1.0974541471645958,0.6774445922790204
688981.SH,2025-07-31,90.32,92.75,89.46,89.5,90.36,-0.86,-0.9517,461988.52,4187082.774,91.53600000000002,88.7225,,55.2922590837283,1.274447223018086,1.132852762335294,0.28318892136558427
688981.SH,2025-08-01,89.2,90.33,88.02,88.29,89.5,-1.21,-1.352,274140.33,2439842.712,90.5,88.84700000000001,,52.910052910052954,1.036688463842225,1.1136199026366802,-0.1538628775889106
688981.SH,2025-08-04,87.95,90.63,87.88,90.07,88.29,1.78,2.0161,286057.6,2568808.038,90.078,89.07650000000001,,57.44535519125682,0.9805904221649371,1.0870140065423317,-0.21284716875478926
688981.SH,2025-08-05,89.85,90.58,89.58,90.0,90.07,-0.07,-0.0777,195679.4,1761818.589,89.64399999999999,89.2395,,60.32998565279771,0.9198800998004941,1.0535872251939642,-0.26741425078694014
688981.SH,2025-08-06,89.86,91.0,89.53,90.78,90.0,0.78,0.8667,267797.87,2418543.09,89.72800000000001,89.486,,57.62452107279694,0.9240542905428839,1.0276806382637482,-0.20725269544172864
688981.SH,2025-08-07,90.7,91.7,89.75,90.59,90.78,-0.19,-0.2093,315259.94,2859638.85,89.946,89.732,,58.0246913580247,0.9016374395229008,1.0024719985155788,-0.20166911798535603
688981.SH,2025-08-08,88.0,88.5,86.66,86.66,90.59,-3.93,-4.3382,584730.5,5098977.106,89.62,89.65700000000001,,42.79609279609279,0.5602950355668099,0.914036605925825,-0.7074831407180302
688981.SH,2025-08-11,86.69,87.18,86.22,86.96,86.66,0.3,0.3462,279193.14,2423559.078,88.998,89.62899999999999,,43.62214199759323,0.31040802351498087,0.7933108894436562,-0.9658057318573507
688981.SH,2025-08-12,86.95,90.1,86.42,88.52,86.96,1.56,1.7939,551552.4,4870773.398,88.702,89.6605,,47.565752658086154,0.23553463203830916,0.6817556379625869,-0.8924420118485554
688981.SH,2025-08-13,88.01,89.23,88.0,88.66,88.52,0.14,0.1582,384304.42,3405728.487,88.27799999999999,89.7375,,40.12779552715652,0.18535707880685948,0.5824759261314414,-0.7942376946491638
688981.SH,2025-08-14,88.69,92.58,88.69,89.46,88.66,0.8,0.9023,741492.26,6741604.128,88.05199999999999,89.771,,36.388323150033905,0.2077495134112013,0.5075306435873934,-0.5995622603523842
688981.SH,2025-08-15,89.0,93.3,88.48,91.84,89.46,2.38,2.6604,690499.46,6288369.53,89.088,89.9375,,48.92541087231351,0.4127834776919599,0.48858121040830677,-0.15159546543269375
688981.SH,2025-08-18,93.5,95.17,91.36,92.31,91.84,0.47,0.5118,833423.13,7749849.746,90.15799999999999,90.102,,50.429975429975435,0.6062114157730036,0.5121072514812461,0.188208328583515
688981.SH,2025-08-19,91.67,92.48,89.35,89.35,92.31,-2.96,-3.2066,744652.14,6762914.098,90.324,90.1155,,47.10269650028684,0.5147237727792486,0.5126305557408467,0.004186434076803858
688981.SH,2025-08-20,89.4,92.49,88.19,92.28,89.35,2.93,3.2792,858745.56,7756060.795,91.048,90.26,,57.12820512820513,0.67091181575816,0.5442868077443094,0.25325001602770114
688981.SH,2025-08-21,92.3,94.11,90.8,91.05,92.28,-1.23,-1.3329,606826.05,5593619.618,91.366,90.225,,57.06967213114751,0.6875159882828683,0.5729326438520213,0.2291666888616941
688981.SH,2025-08-22,92.5,105.0,92.42,103.97,91.05,12.92,14.19,2061948.09,20322967.7,93.792,90.75,,72.66797129810827,1.723345285978482,0.8030151722773134,1.840660227402337
688981.SH,2025-08-25,106.0,109.24,101.1,103.17,103.97,-0.8,-0.7695,1760636.98,18348502.386,95.96399999999998,91.2995,,70.97801847722204,2.4514355302017776,1.1326992438622063,2.6374725726791426
688981.SH,2025-08-26,101.0,102.57,100.13,100.93,103.17,-2.24,-2.1712,856074.09,8663988.281,98.28,91.7375,,65.44901065449011,2.8152505588074774,1.4692095068512607,2.6920821039124334
688981.SH,2025-08-27,102.2,106.69,100.59,101.51,100.93,0.58,0.5747,1422620.71,14762335.293,100.126,92.295,,66.42599277978339,3.1144760022015987,1.7982628059213284,2.6324263925605407
688981.SH,2025-08-28,102.0,119.22,101.99,119.22,101.51,17.71,17.4466,2420325.11,27118768.322,105.76000000000002,93.781,,84.62356444066354,4.726182819650546,2.383846808667172,4.684672021966748
688981.SH,2025-08-29,114.0,116.0,112.26,114.76,119.22,-4.46,-3.741,1639670.37,18711478.532,107.918,95.1045,,77.15904650254006,5.579272972128763,3.0229320413594905,5.112681861538545
688981.SH,2025-09-09,102.0,108.65,101.2,102.99,114.76,-11.77,-10.2562,1574695.7,16482005.03,107.88200000000002,95.7505,,61.785307053266,5.245149610427902,3.467375555173173,3.5555481105094575
688981.SH,2025-09-10,103.0,105.96,102.13,103.91,102.99,0.92,0.8933,1039925.7,10822524.036,108.478,96.446,,62.26475792182724,4.9969885764978414,3.7732981594381068,2.4473808341194694
688981.SH,2025-09-11,102.62,112.8,99.98,110.28,103.91,6.37,6.1303,1467501.66,15776091.423,110.232,97.42099999999999,,65.36758193091231,5.253762825395981,4.069391092629682,2.3687434655325976
688981.SH,2025-09-12,109.28,112.49,108.01,108.42,110.28,-1.86,-1.6866,1159022.04,12730296.246,108.072,98.3125,,62.33263909550729,5.246691221821621,4.30485111846807,1.8836802067071012
688981.SH,2025-09-15,110.55,112.55,107.5,108.66,108.42,0.24,0.2214,946836.18,10395575.384,106.852,99.4125,,62.203313927451845,5.2005047378608396,4.4839818423466244,1.4330457910284302
688981.SH,2025-09-16,109.0,111.86,108.09,109.78,108.66,1.12,1.0307,866259.24,9501062.259,108.21,100.5535,,65.6792018419033,5.194398464240734,4.626065166725446,1.1366665950305759
688981.SH,2025-09-17,110.8,120.8,109.8,117.39,109.78,7.61,6.932,1528475.61,17861084.416,110.90599999999999,101.99699999999999,,67.97937849062008,5.7374844497037145,4.8483490233211,1.7782708527652282
688981.SH,2025-09-18,119.98,127.49,116.35,122.15,117.39,4.76,4.0549,1931567.78,23495279.107,113.28,103.6715,,71.19683751363141,6.477309829200877,5.1741411844970555,2.6063372894076426
688981.SH,2025-09-19,123.0,127.4,120.11,121.34,122.15,-0.81,-0.6631,1449106.23,17943778.048,115.864,105.2655,,64.1795918367347,6.918514216793227,5.52301579095629,2.7909968516738743
688981.SH,2025-09-22,120.54,129.83,119.05,128.92,121.34,7.58,6.2469,1588281.47,19858613.711,119.91600000000001,107.11950000000002,,68.92547405556371,7.790016067849422,5.976415846334916,3.627200443029011
688981.SH,2025-09-23,127.64,129.33,122.63,128.51,128.92,-0.41,-0.318,1441273.53,18120121.818,123.66199999999999,108.9295,,70.83081570996978,8.351334998815389,6.451399676831011,3.799870643968756
688981.SH,2025-09-24,126.88,137.98,126.23,134.98,128.51,6.47,5.0346,1460947.53,19497523.266,127.17999999999999,111.21099999999998,,73.21403800804549,9.212068235340695,7.003533388532948,4.417069693615494
688981.SH,2025-09-25,133.0,137.8,132.31,134.11,134.98,-0.87,-0.6445,1032583.21,13953307.668,129.572,113.30250000000001,,63.47511312217196,9.712049338198526,7.545236578466064,4.333625519464922
688981.SH,2025-09-26,132.71,135.95,131.2,132.27,134.11,-1.84,-1.372,912445.19,12181639.386,131.75799999999998,115.3635,,66.63499904997151,9.84631317276579,8.00545189732601,3.6817225508795595
688981.SH,2025-09-29,131.0,136.02,129.16,136.02,132.27,3.75,2.8351,1027207.23,13627566.349,133.178,116.96600000000001,,87.02084734364496,10.138442237765588,8.432049965413926,3.4127845447033245
688981.SH,2025-09-30,138.5,142.0,136.6,140.13,136.02,4.11,3.0216,986229.0,13794113.059,135.502,118.81400000000001,,87.88702928870296,10.579643730426227,8.861568718416386,3.436150024019682
688981.SH,2025-10-09,144.0,153.0,137.0,138.91,140.13,-1.22,-0.8706,1662841.1,24249284.345,136.288,120.71300000000001,100.26566666666666,83.56389214536932,10.7074267377196,9.230740322277029,2.9533728308851437
688981.SH,2025-10-10,134.87,134.94,127.17,127.95,138.91,-10.96,-7.89,1617420.76,21074152.02,135.056,122.035,100.96316666666667,68.86956521739133,9.81121767804666,9.346835793430955,0.9287637692314092
